Ticker,IndexMarketCap,Income,Sales,Booksh,Cashsh,Dividend,Dividend_Percentage,Employees,Recom,PriceToEarnings,ForwardPTE,PEGPriceToSales,PriceToBook,PutCallRatio,PFCF,QuickRatio,CurrentRatio,DebtEquity,LdDebtEquity,SMA20,SMA50,SMA200,ROA,ROE,ROI,GrossMargin,OperationalMargin,ProfitMargin,Payout,SHSOutstanding,ShsFloat,ShoartFloat,ShortRatio,TargetPrice,52WH,52WL,AVGVol,Vol,PerformaceHalfYear,PerformanceYear,PerformanceYTD,,,,
[['ARNC'], '-', '3.55B', '-434.00M', '6.35B', '14.67', '4.90', '-', '-', '13400', '2.20', '-', '10.88', '-', '0.56', '2.20', '6.58', '-', '0.90', '1.60', '0.00', '0.99', '-7.16%', '-6.65%', '3.31%', '-6.80%', '-28.90%', '2.90%', '14.00%', '-5.70%', '-6.80%', '-', '110.00M', '108.71M', '4.49%', '6.74', '46.00', '-16.32%', '77.47%', '724.45K', '3,258,429', '18.33%', '52.08%', '8.09%']
[['AROC'], '-', '1.21B', '35.40M', '796.00M', '6.01', '0.02', '0.58', '7.34%', '1250', '2.00', '33.91', '21.47', '-', '1.52', '1.31', '365.77', '8.62', '1.00', '1.50', '1.76', '1.76', '3.72%', '-1.25%', '-12.92%', '1.30%', '3.80%', '1.00%', '56.30%', '17.00%', '4.40%', '248.30%', '152.03M', '133.26M', '2.35%', '4.23', '10.80', '-26.85%', '53.40%', '738.99K', '3,822,508', '-20.52%', '31.45%', '-8.78%']
[['ARR'], '-', '897.37M', '131.80M', '183.00M', '14.57', '6.02', '1.20', '11.11%', '-', '3.00', '5.01', '9.83', '-', '4.90', '0.74', '1.79', '20.17', '-', '-', '3.30', '0.00', '0.06%', '0.60%', '-5.81%', '2.40%', '13.30%', '-', '-', '-', '72.00%', '55.10%', '76.06M', '-', '-', '2.87', '11.06', '-14.01%', '21.35%', '1.63M', '6,105,390', '-10.67%', '8.43%', '0.09%']
[['ASIX'], '-', '1.01B', '98.30M', '1.44B', '18.58', '0.15', '-', '-', '1400', '1.50', '10.54', '8.82', '1.05', '0.70', '1.94', '234.15', '7.38', '0.70', '1.20', '0.00', '0.37', '-0.37%', '6.03%', '26.63%', '7.90%', '21.10%', '7.50%', '14.50%', '9.10%', '6.80%', '0.00%', '28.13M', '27.37M', '2.20%', '2.67', '43.00', '-5.97%', '210.67%', '225.61K', '546,939', '32.04%', '185.38%', '80.59%'],
[['ASTE'], '-', '1.28B', '25.20M', '1.03B', '28.97', '7.98', '0.44', '0.79%', '3537', '2.20', '50.43', '17.73', '5.04', '1.24', '1.91', '6.94', '20.61', '1.80', '3.10', '0.00', '0.00', '-5.93%', '-7.26%', '-15.22%', '4.00%', '5.40%', '5.60%', '23.40%', '3.80%', '3.40%', '21.50%', '22.74M', '22.42M', '1.26%', '2.89', '77.33', '-30.73%', '14.80%', '97.72K', '325,520', '-22.75%', '3.24%', '-4.25%'],
[['ATGE'], '-', '2.01B', '102.00M', '1.11B', '26.08', '-', '-', '-', '4024', '2.00', '20.15', '7.72', '1.34', '1.81', '1.52', '-', '14.01', '3.70', '3.70', '0.82', '0.82', '6.85%', '7.97%', '6.66%', '2.90%', '5.90%', '5.70%', '56.00%', '14.50%', '6.90%', '0.00%', '49.89M', '48.69M', '4.01%', '4.09', '44.50', '-9.56%', '70.80%', '477.42K', '883,459', '-4.27%', '50.86%', '16.82%'],
[['ATI'], '-', '2.16B', '-1228.20M', '2.56B', '3.72', '3.66', '-', '-', '6500', '2.20', '-', '21.68', '-', '0.84', '4.51', '4.57', '-', '1.60', '3.30', '3.43', '3.39', '-5.72%', '-12.65%', '-17.06%', '-28.70%', '-153.00%', '-67.20%', '8.30%', '-42.00%', '-47.90%', '-', '127.10M', '126.34M', '11.59%', '10.91', '26.00', '-33.05%', '103.40%', '1.34M', '3,896,432', '-21.57%', '72.07%', '-0.06%']
[['ATNI'], '-', '735.24M', '-13.10M', '483.80M', '40.34', '-', '0.68', '1.48%', '1700', '1.70', '-', '-', '-', '1.52', '1.14', '-', '-', '1.40', '1.50', '0.14', '0.13', '0.40%', '2.41%', '-1.30%', '-1.20%', '-2.00%', '1.20%', '63.80%', '0.20%', '-2.70%', '-', '15.91M', '10.95M', '1.76%', '5.29', '66.33', '-15.25%', '12.25%', '36.37K', '207,294', '-8.95%', '-11.59%', '10.18%'],
[['AVA'], '-', '2.86B', '145.70M', '1.36B', '29.82', '0.54', '1.69', '4.23%', '1200', '3.20', '18.99', '18.30', '3.06', '2.09', '1.34', '73.25', '-', '0.30', '0.40', '1.16', '0.90', '-4.26%', '-5.66%', '-6.54%', '2.30%', '7.20%', '5.20%', '-', '18.30%', '10.70%', '78.50%', '69.40M', '69.01M', '2.81%', '5.61', '41.50', '-18.76%', '23.74%', '345.14K', '1,41,835', '-13.84%', '15.48%', '-0.55%']
[['AVAV'], '-', '2.10B', '-0.70M', '408.50M', '24.30', '4.60', '-', '-', '1165', '2.00', '-', '27.90', '-', '5.13', '3.55', '18.75', '65.96', '3.10', '4.20', '0.33', '0.31', '-12.39%', '-12.80%', '-19.11%', '-0.10%', '-0.10%', '5.30%', '38.60%', '4.60%', '-0.20%', '-', '24.62M', '23.23M', '4.55%', '5.45', '126.60', '-39.99%', '45.87%', '194.12K', '1,88,197', '-27.80%', '33.91%', '-0.75%']
