IPO,MarketCap,Income,Sales,Booksh,Dividend,Dividend_Percentage,Employees,PriceToEarnings,ForwardPTE,PriceToSales,PriceToBook,PutCallRatio,QuickRatio,CurrentRatio,DebtEquity,ROA(%),ROE(%),ROI(%),GrossMargin(%),OperationalMargin,ProfitMargin(%),Payout(%),SHSOutstanding,ShsFloat,ShortFloat(%),ShortRatio,TargetPrice,PerformanceHalfYear(%),PerformanceYear(%),PerformanceYTD(%)
INBX,120000000.0,-7810000.0,1050000.0,1.17,0.0,0.0,91.0,0.0,0.0,114.4,27.85,9.56,6.1,6.1,0.0,-56.5,-114.9,-64.4,0.0,0.0,0.0,0.0,3782000.0,2274000.0,4.48,4.97,40.5,38.46,82.11,-1.18
ZCMD,3987000.0,450000.0,1800000.0,1.28,0.0,0.0,88.0,9.28,0.0,2.21,1.31,2.33,9.9,9.9,0.0,18.1,20.3,12.6,66.0,25.0,24.8,0.0,2494000.0,949000.0,1.35,0.33,0.0,-6.67,-2.33,-1.18
BWAC,16158000.0,0.0,0.0,7.62,0.0,0.0,0.0,0.0,0.0,0.0,1.32,230.83,4.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611000.0,1295000.0,1.36,5.88,0.0,0.1,0.0,-1.18
SEAH,105000000.0,0.0,0.0,6.36,0.0,0.0,0.0,0.0,0.0,0.0,1.57,3494.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5625000.0,4485000.0,0.5,0.55,0.0,0.0,0.0,-1.19
ZNTE,28951000.0,0.0,0.0,6.83,0.0,0.0,3.0,0.0,0.0,0.0,1.47,222.7,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2875000.0,1725000.0,0.92,1.25,0.0,-1.56,0.0,-1.23
STWO,31064000.0,0.0,0.0,7.14,0.0,0.0,2.0,0.0,0.0,0.0,1.39,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3125000.0,2500000.0,1.08,3.17,0.0,-0.2,0.0,-1.29
GLAQ,15080000.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,1.3,754.01,0.6,0.6,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505000.0,1222000.0,0.04,0.18,0.0,0.0,0.0,-1.76
DEH,42994000.0,-3360000.0,0.0,6.51,0.0,0.0,0.0,0.0,0.0,0.0,1.53,2149.69,0.1,0.1,0.0,-9.7,-11.0,0.0,0.0,0.0,0.0,0.0,4312000.0,3450000.0,3.26,2.79,0.0,-0.99,2.36,-1.77
VTAQ,21474000.0,0.0,0.0,7.98,0.0,0.0,0.0,0.0,0.0,0.0,1.25,429.48,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156000.0,1727000.0,0.02,0.16,0.0,-2.73,0.0,-1.8
PTK,13001000.0,-330000.0,0.0,7.19,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1300.12,0.0,0.0,0.0,-3.9,-4.2,0.0,0.0,0.0,0.0,0.0,1438000.0,992000.0,0.37,1.87,0.0,-0.25,0.0,-1.82
