IPO,MarketCap,Income,Sales,Booksh,Dividend,Dividend_Percentage,Employees,PriceToEarnings,ForwardPTE,PriceToSales,PriceToBook,PutCallRatio,QuickRatio,CurrentRatio,DebtEquity,ROA(%),ROE(%),ROI(%),GrossMargin(%),OperationalMargin,ProfitMargin(%),Payout(%),SHSOutstanding,ShsFloat,ShortFloat(%),ShortRatio,TargetPrice,PerformanceHalfYear(%),PerformanceYear(%),PerformanceYTD(%)
CSPR,20924000.0,-8580000.0,55320000.0,-0.53,0.0,0.0,442.0,0.0,0.0,0.38,0.0,4.21,0.6,1.0,0.0,-38.5,-720.6,-91.0,51.2,-14.4,-15.5,0.0,4144000.0,3423000.0,8.48,4.17,8.55,-37.5,-45.54,-19.51
KC,777000000.0,-12600000.0,118000000.0,5.39,0.0,0.0,2166.0,0.0,0.0,6.56,6.49,9.16,2.4,2.4,0.09,-6.8,-10.0,-14.2,5.8,-15.2,-10.7,0.0,22341000.0,9301000.0,6.43,3.45,0.0,-30.95,5.46,-19.72
SEER,272000000.0,0.0,54000.0,8.65,0.0,0.0,60.0,0.0,0.0,5026.0,5.21,5.25,62.6,62.9,0.0,0.0,0.0,-7.8,0.0,0.0,0.0,0.0,6084000.0,4445000.0,9.25,9.14,55.0,0.9,0.0,-19.77
WIMI,40059000.0,0.0,76601000.0,0.0,0.0,0.0,202.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8671000.0,4908000.0,3.45,1.49,7.0,-38.97,-23.89,-19.79
CRSR,274000000.0,15390000.0,202000000.0,5.71,0.0,0.0,2411.0,18.4,15.21,1.36,5.08,20.35,0.9,1.5,0.0,11.7,33.4,18.4,28.4,10.4,7.6,0.0,9279000.0,9026000.0,9.67,2.58,39.67,-13.6,0.0,-19.85
NBTX,45470000.0,0.0,251000.0,0.0,0.0,0.0,88.0,0.0,0.0,181.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3446000.0,2926000.0,0.01,1.34,22.53,-26.4,0.0,-20.02
FTHM,43051000.0,-690000.0,24310000.0,3.67,0.0,0.0,38.0,0.0,0.0,1.77,7.83,33.63,1.3,1.3,0.2,-14.8,-19.9,-4.2,6.1,-4.0,-2.9,0.0,1405000.0,452000.0,19.17,19.83,0.0,-7.32,71.67,-20.31
SDGR,440000000.0,-4200000.0,12070000.0,8.58,0.0,0.0,445.0,0.0,0.0,36.49,7.33,7.18,9.2,9.2,0.0,-5.8,-6.7,-9.8,51.7,-71.5,-34.8,0.0,7058000.0,4037000.0,11.62,7.78,87.6,-9.85,17.08,-20.6
BLUW,5773000.0,0.0,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0,1.14,144.32,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725000.0,408000.0,1.5,0.17,0.0,-21.06,0.0,-21.02
RPRX,2367000000.0,97160000.0,224000000.0,14.05,0.68,1.74,51.0,15.75,12.63,10.57,2.77,8.93,9.5,9.5,0.0,6.0,19.5,14.7,0.0,79.0,43.4,25.9,40813000.0,17675000.0,4.29,3.3,51.5,-15.33,-2.01,-22.12
RVMD,232000000.0,-14290000.0,4020000.0,9.33,0.0,0.0,150.0,0.0,0.0,57.73,3.3,3.59,14.4,14.4,0.0,-20.8,-23.9,-23.2,0.0,0.0,0.0,0.0,7340000.0,7266000.0,13.35,15.82,33.0,-33.29,14.51,-22.25
DYN,83894000.0,-9750000.0,0.0,8.84,0.0,0.0,71.0,0.0,0.0,0.0,1.84,1.93,31.7,31.7,0.0,-23.0,-23.8,0.0,0.0,0.0,0.0,0.0,5122000.0,4976000.0,4.46,8.86,0.0,4.16,0.0,-22.43
LEAP,58513000.0,0.0,0.0,6.96,0.0,0.0,2.0,0.0,0.0,0.0,1.44,585.13,15.5,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4573000.0,2400000.0,0.09,0.32,16.63,-16.33,0.0,-22.71
SUMO,236000000.0,-8360000.0,20970000.0,4.08,0.0,0.0,759.0,0.0,0.0,11.25,5.41,8.12,2.5,2.5,0.0,-17.2,-31.9,-18.4,72.6,-38.5,-39.9,0.0,10403000.0,10375000.0,5.51,4.43,25.63,-18.26,0.0,-22.78
FUSN,39150000.0,-6780000.0,50000.0,6.2,0.0,0.0,65.0,0.0,0.0,783.01,1.46,2.19,19.8,19.8,0.0,-22.5,-23.7,0.0,0.0,0.0,0.0,0.0,4250000.0,3364000.0,0.56,2.57,0.0,-17.88,-26.24,-22.98
VIRI,4787000.0,-1660000.0,0.0,2.74,0.0,0.0,3.0,0.0,0.0,0.0,2.1,2.2,26.2,26.2,0.0,-78.6,-88.7,0.0,0.0,0.0,0.0,0.0,833000.0,744000.0,1.0,0.82,0.0,-1.87,0.0,-23.3
HSAQ,20138000.0,-40000.0,0.0,7.64,0.0,0.0,0.0,0.0,0.0,0.0,1.28,105.99,10.3,10.3,0.0,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,2045000.0,1597000.0,0.0,0.0,0.0,-14.35,-12.59,-23.58
PSTX,53064000.0,-15460000.0,0.0,3.0,0.0,0.0,220.0,0.0,0.0,0.0,2.76,2.24,7.5,7.5,0.0,-43.9,-63.6,0.0,0.0,0.0,0.0,0.0,6215000.0,3721000.0,4.61,8.96,0.0,-18.41,-10.86,-24.43
RXT,295000000.0,-26560000.0,287000000.0,6.65,0.0,0.0,7200.0,0.0,13.26,1.03,2.15,13.74,1.1,1.1,2.82,-4.1,-19.2,0.3,33.6,-3.5,-9.3,0.0,20790000.0,20592000.0,4.83,9.05,20.89,-30.38,-27.18,-25.08
IPOD,57441000.0,0.0,0.0,7.01,0.0,0.0,4.0,0.0,0.0,0.0,1.45,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5750000.0,4600000.0,0.61,0.93,0.0,-17.36,0.0,-25.57
LTRN,15040000.0,-940000.0,0.0,7.12,0.0,0.0,11.0,0.0,0.0,0.0,2.01,1.89,30.6,30.6,0.0,-18.0,-18.5,0.0,0.0,0.0,0.0,0.0,1118000.0,904000.0,2.98,3.41,0.0,-10.45,0.77,-25.66
ORIC,100000000.0,-9130000.0,0.0,7.04,0.0,0.0,70.0,0.0,0.0,0.0,3.54,3.84,26.8,26.8,0.0,-35.0,-36.2,0.0,0.0,0.0,0.0,0.0,3670000.0,2542000.0,13.18,15.68,0.0,-29.59,2.59,-26.32
OPT,34822000.0,0.0,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,1525.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4221000.0,2266000.0,0.6,1.18,0.0,-13.7,129.17,-26.44
DNB,799000000.0,-9140000.0,195000000.0,8.37,0.0,0.0,4039.0,0.0,15.91,4.1,2.18,44.97,0.6,0.6,1.0,-0.9,-2.4,1.7,69.4,5.5,-4.5,0.0,42890000.0,33483000.0,1.8,3.14,27.5,-18.28,-25.87,-26.59
ARQT,106000000.0,-15030000.0,0.0,8.29,0.0,0.0,54.0,0.0,0.0,0.0,2.48,2.59,32.0,32.0,0.0,-42.9,-45.9,0.0,0.0,0.0,0.0,0.0,5000000.0,4774000.0,4.77,13.42,0.0,-37.61,-15.57,-26.77
KRON,125000000.0,-12800000.0,0.0,7.78,0.0,0.0,90.0,0.0,0.0,0.0,2.8,2.99,32.4,32.4,0.0,-29.5,-40.7,0.0,0.0,0.0,0.0,0.0,5451000.0,4672000.0,9.43,15.92,0.0,-24.9,0.0,-27.08
DADA,614000000.0,-35560000.0,97790000.0,4.15,0.0,0.0,2440.0,0.0,0.0,6.28,6.36,7.28,3.2,3.2,0.08,-29.3,-39.2,-23.1,18.4,-35.1,-36.4,0.0,23756000.0,23013000.0,1.3,2.49,0.0,-19.21,12.62,-27.64
CMPS,143000000.0,-6570000.0,0.0,8.22,0.0,0.0,61.0,0.0,0.0,0.0,4.18,4.51,42.8,42.8,0.0,-27.9,-28.7,0.0,0.0,0.0,0.0,0.0,3980000.0,670000.0,9.39,1.55,0.0,-22.42,0.0,-27.94
LYRA,10761000.0,-3220000.0,0.0,4.43,0.0,0.0,38.0,0.0,0.0,0.0,1.84,1.56,11.9,11.9,0.0,-40.6,-45.9,0.0,0.0,0.0,0.0,0.0,1299000.0,960000.0,2.46,2.46,0.0,-44.08,-27.62,-28.38
PSTH,394000000.0,-45100000.0,0.0,17.1,0.0,0.0,4.0,0.0,0.0,0.0,1.15,157.6,1.4,1.4,0.0,-11.2,-13.3,0.0,0.0,0.0,0.0,0.0,20000000.0,20000000.0,0.27,0.17,0.0,-25.95,0.0,-28.75
AVIR,246000000.0,3530000.0,17500000.0,7.23,0.0,0.0,49.0,75.11,2.27,14.08,4.1,3.02,3.2,3.2,0.0,5.3,8.5,-2.0,0.0,0.0,20.2,0.0,8274000.0,6748000.0,8.66,4.25,46.5,-51.91,0.0,-28.99
YALA,144000000.0,1570000.0,21640000.0,1.97,0.0,0.0,374.0,195.58,9.25,6.68,5.16,4.88,9.9,9.9,0.0,5.7,6.3,1.2,57.6,8.0,7.2,0.0,14825000.0,1860000.0,27.02,4.44,0.0,-47.98,0.0,-29.03
ANNX,67859000.0,-10250000.0,0.0,7.72,0.0,0.0,17.0,0.0,0.0,0.0,2.29,2.24,29.6,29.6,0.0,-29.4,-30.9,0.0,0.0,0.0,0.0,0.0,3828000.0,3619000.0,3.94,9.46,0.0,-45.22,-29.49,-29.32
PTVE,236000000.0,-12900000.0,489000000.0,5.76,0.4,3.13,14600.0,0.0,7.68,0.48,2.22,6.73,1.2,2.2,3.85,-1.8,-13.5,4.6,12.9,0.1,-2.7,0.0,17740000.0,4262000.0,2.8,7.56,16.0,-14.33,0.0,-29.49
FMTX,122000000.0,-13580000.0,0.0,12.24,0.0,0.0,139.0,0.0,0.0,0.0,2.0,2.27,17.9,17.9,0.0,-22.7,-24.0,0.0,0.0,0.0,0.0,0.0,4734000.0,4372000.0,8.24,11.81,0.0,-23.44,-37.97,-29.8
UCL,20855000.0,-4560000.0,7200000.0,1.44,0.0,0.0,578.0,0.0,0.0,2.9,5.13,6.23,1.2,1.4,0.12,-48.6,-87.4,-105.1,30.4,-63.2,-63.4,0.0,2833000.0,34000.0,0.05,0.0,0.0,-28.94,-46.04,-29.89
ANPC,5266000.0,0.0,2177000.0,0.11,0.0,0.0,101.0,0.0,0.0,2.42,33.36,37.62,0.7,0.7,2.5,0.0,0.0,-812.9,0.0,0.0,0.0,0.0,1196000.0,426000.0,1.46,0.08,0.0,-57.38,-28.74,-30.75
MASS,104000000.0,-2550000.0,2560000.0,4.63,0.0,0.0,101.0,0.0,0.0,40.75,8.44,7.38,13.4,14.1,0.0,-18.2,-30.6,-3.8,53.6,-72.4,-99.7,0.0,2734000.0,2016000.0,9.58,5.74,55.0,-8.71,0.0,-31.4
VIAO,21182000.0,-420000.0,19970000.0,0.8,0.0,0.0,620.0,0.0,5.91,1.06,11.44,2.2,1.8,2.1,0.41,0.0,0.0,-2.0,14.1,1.0,-0.3,0.0,11458000.0,11186000.0,0.0,0.21,0.0,-28.52,0.0,-32.02
VITL,71298000.0,830000.0,22620000.0,3.82,0.0,0.0,215.0,91.4,326.92,3.15,4.45,19.11,4.8,5.3,0.0,4.7,5.7,6.6,35.0,2.8,3.7,0.0,4000000.0,2732000.0,15.1,13.14,25.5,-37.45,-54.02,-32.83
GRIL,2112000.0,-830000.0,440000.0,0.35,0.0,0.0,380.0,0.0,0.0,4.8,3.34,10.56,0.6,0.6,0.34,0.0,0.0,-136.6,-27.2,0.0,0.0,0.0,1182000.0,1008000.0,2.72,0.65,0.0,-48.68,-53.39,-33.14
HCDI,4328000.0,-300000.0,6010000.0,2.18,0.0,0.0,40.0,0.0,0.0,0.72,1.33,3.38,0.0,0.0,1.33,-4.8,-14.6,-10.0,8.2,-3.4,-4.9,0.0,1489000.0,1143000.0,9.52,3.4,0.0,-6.01,-48.76,-33.6
FHTX,48873000.0,-8520000.0,100000.0,2.83,0.0,0.0,95.0,0.0,0.0,488.73,4.69,3.46,8.8,8.8,0.19,-40.8,-140.7,-41.4,0.0,0.0,0.0,0.0,3685000.0,2978000.0,3.28,8.25,0.0,4.32,0.0,-34.53
AKUS,46326000.0,-6450000.0,0.0,8.05,0.0,0.0,69.0,0.0,0.0,0.0,1.61,1.71,22.7,22.7,0.0,-19.6,-21.4,0.0,0.0,0.0,0.0,0.0,3437000.0,3327000.0,5.48,15.79,0.0,-31.32,-42.97,-34.54
VRM,365000000.0,-24150000.0,208000000.0,8.33,0.0,0.0,944.0,0.0,0.0,1.75,3.21,2.49,2.5,3.3,0.86,-12.9,-20.0,-11.5,7.0,-11.3,-11.6,0.0,13651000.0,10778000.0,12.27,6.61,0.0,-21.98,-54.0,-34.83
BTWN,73176000.0,-3090000.0,0.0,7.01,0.0,0.0,0.0,0.0,0.0,0.0,1.43,609.8,0.4,0.4,0.0,-6.9,-8.3,0.0,0.0,0.0,0.0,0.0,7437000.0,5950000.0,1.27,1.33,0.0,-18.14,0.0,-35.27
PRFX,3104000.0,0.0,0.0,2.25,0.0,0.0,1.0,0.0,0.0,0.0,1.27,1.6,28.8,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905000.0,816000.0,6.03,0.31,0.0,-46.93,-56.15,-36.24
AZYO,8726000.0,-2300000.0,4930000.0,1.46,0.0,0.0,175.0,0.0,0.0,1.77,5.88,3.08,1.6,2.0,1.61,-33.8,406.8,-31.0,47.7,-24.0,-46.8,0.0,1023000.0,334000.0,3.99,6.03,0.0,-41.27,0.0,-37.05
LMND,485000000.0,-16940000.0,9000000.0,17.93,0.0,0.0,567.0,0.0,0.0,53.91,4.29,4.44,0.0,0.0,0.0,-14.7,-20.2,-22.6,0.0,0.0,0.0,0.0,6145000.0,3991000.0,22.55,6.21,78.5,-17.81,62.6,-37.26
OLMA,118000000.0,0.0,0.0,7.97,0.0,0.0,36.0,0.0,0.0,0.0,3.75,3.72,39.4,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3941000.0,3574000.0,5.55,7.44,0.0,-27.47,0.0,-37.9
FROG,373000000.0,-3000000.0,17530000.0,6.0,0.0,0.0,700.0,0.0,0.0,21.27,6.48,6.06,5.0,5.0,0.0,-4.3,-5.4,-2.1,81.3,-21.8,-17.1,0.0,9367000.0,6432000.0,10.29,6.95,53.33,-17.57,0.0,-38.1
TARS,51861000.0,-500000.0,5540000.0,9.36,0.0,0.0,20.0,0.0,0.0,9.36,2.73,2.93,19.2,19.2,0.0,-3.0,-3.8,0.0,96.3,0.0,-9.1,0.0,2055000.0,1470000.0,2.12,5.67,0.0,-21.06,0.0,-38.16
KBNT,4934000.0,-1150000.0,260000.0,2.27,0.0,0.0,13.0,0.0,0.0,18.98,1.52,1.62,16.5,16.5,0.01,-43.4,-47.8,-18.2,14.4,0.0,0.0,0.0,1398000.0,1018000.0,2.87,2.13,0.0,-48.89,-15.44,-38.17
LUNG,154000000.0,-3760000.0,4190000.0,5.82,0.0,0.0,170.0,0.0,0.0,36.83,7.27,7.37,13.5,14.3,0.08,-17.9,-33.7,-13.4,72.0,-92.9,-89.7,0.0,3604000.0,3349000.0,3.59,3.27,55.67,-17.13,0.0,-38.73
ALGS,72181000.0,-12520000.0,250000.0,4.47,0.0,0.0,86.0,0.0,0.0,288.72,3.79,3.79,6.5,6.5,0.0,-62.3,-111.9,0.0,0.0,0.0,0.0,0.0,3774000.0,3289000.0,5.67,7.06,0.0,-31.72,0.0,-38.81
SLQT,190000000.0,13100000.0,93780000.0,4.13,0.0,0.0,1944.0,15.84,8.55,2.03,3.03,6.64,4.5,4.5,0.68,10.0,20.8,14.1,71.1,20.8,14.0,0.0,16344000.0,10378000.0,4.83,2.05,0.0,-51.13,-35.58,-39.61
LU,2143000000.0,230000000.0,874000000.0,5.69,0.0,0.0,87240.0,9.0,7.2,2.45,1.49,4.77,0.0,0.0,0.43,5.7,18.7,13.3,0.0,40.6,26.3,0.0,244000000.0,88537000.0,2.35,2.77,14.38,-44.0,0.0,-40.21
KNTE,102000000.0,0.0,0.0,8.3,0.0,0.0,52.0,0.0,0.0,0.0,2.82,3.99,31.1,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4354000.0,3712000.0,4.76,9.93,0.0,-33.23,0.0,-41.25
VERX,292000000.0,-1770000.0,39730000.0,1.54,0.0,0.0,1200.0,0.0,78.45,7.34,12.79,28.71,0.7,0.7,0.0,-3.2,-7.9,-33.5,60.1,-11.8,-4.5,0.0,14753000.0,3903000.0,3.2,7.27,26.0,-37.03,-17.96,-43.5
MAX,128000000.0,-2330000.0,67270000.0,-0.55,0.0,0.0,117.0,6.3,57.32,1.9,0.0,85.43,1.8,1.8,0.0,-11.3,40.1,14.0,14.7,0.2,-3.5,0.0,3767000.0,1753000.0,5.62,4.6,0.0,-60.66,0.0,-43.67
ONEM,342000000.0,-10520000.0,46330000.0,3.45,0.0,0.0,1957.0,0.0,0.0,7.38,7.12,5.23,4.9,4.9,0.0,-9.7,-20.6,-9.0,42.2,-19.1,-22.7,0.0,13679000.0,11669000.0,10.22,9.16,0.0,-40.35,-13.28,-43.76
ALVR,134000000.0,-11730000.0,0.0,4.85,0.0,0.0,53.0,0.0,0.0,0.0,4.27,4.27,15.3,15.3,0.0,-32.5,-34.5,0.0,0.0,0.0,0.0,0.0,6234000.0,3164000.0,13.19,17.99,0.0,-33.49,-16.39,-46.12
CD,462000000.0,-1560000.0,36410000.0,4.25,0.0,0.0,981.0,0.0,209.34,12.69,3.0,4.5,4.2,4.2,0.53,-0.6,-1.2,-0.3,40.5,9.3,-4.3,0.0,36194000.0,4000000.0,14.25,5.14,0.0,-32.04,0.0,-46.7
CDAK,40246000.0,-8940000.0,1670000.0,2.34,0.0,0.0,105.0,0.0,0.0,24.1,7.34,0.0,5.7,5.7,0.49,-56.9,266.9,-229.6,0.0,0.0,0.0,0.0,2212000.0,1409000.0,6.26,8.18,0.0,5.14,0.0,-46.84
NNOX,116000000.0,-5630000.0,0.0,4.55,0.0,0.0,40.0,0.0,0.0,0.0,5.33,7.59,28.9,28.9,0.0,-23.7,-24.7,0.0,0.0,0.0,0.0,0.0,4776000.0,3687000.0,13.07,4.51,42.25,-39.69,-33.38,-46.89
MNSO,447000000.0,-21920000.0,141000000.0,3.39,0.16,1.14,0.0,0.0,18.19,3.18,4.13,4.2,2.2,2.6,0.12,-15.2,-32.2,2.5,26.8,4.4,-15.6,0.0,30398000.0,3084000.0,7.41,3.24,0.0,-43.11,0.0,-46.99
PRLD,184000000.0,-8420000.0,0.0,7.26,0.0,0.0,100.0,0.0,0.0,0.0,5.21,5.37,23.5,23.5,0.0,-28.5,-29.8,0.0,0.0,0.0,0.0,0.0,4606000.0,4372000.0,9.61,21.0,61.6,-32.48,0.0,-47.1
BQ,20000000.0,-480000.0,16950000.0,0.2,0.0,0.0,325.0,0.0,0.0,1.18,13.55,3.11,2.1,2.5,4.55,-3.7,4.3,-29.6,18.3,-18.8,-2.8,0.0,9019000.0,7267000.0,0.81,2.28,0.0,-50.64,0.0,-47.98
EDTK,1990000.0,350000.0,2920000.0,3.78,0.0,0.0,50.0,4.25,0.0,0.68,0.41,0.0,1.9,1.9,0.01,6.6,9.9,6.7,49.6,22.6,12.0,0.0,1206000.0,705000.0,4.18,0.96,0.0,-53.31,-57.65,-49.51
SQZ,41448000.0,-6440000.0,1860000.0,5.47,0.0,0.0,98.0,0.0,0.0,22.28,2.67,0.0,4.3,4.3,0.0,-28.3,-74.7,-40.1,0.0,0.0,0.0,0.0,2792000.0,2531000.0,6.09,8.33,0.0,0.69,0.0,-49.55
EAR,87102000.0,-4470000.0,8550000.0,4.53,0.0,0.0,238.0,0.0,0.0,10.19,4.95,4.86,8.1,8.2,0.0,-23.5,-46.6,-17.5,71.0,-60.4,-52.3,0.0,3881000.0,3616000.0,7.73,5.6,0.0,-56.32,0.0,-49.98
BDSX,27427000.0,-3170000.0,7700000.0,0.93,0.0,0.0,200.0,0.0,0.0,3.56,10.62,4.87,3.2,3.2,1.28,-33.0,83.6,-33.3,43.0,-33.5,-41.2,0.0,2773000.0,748000.0,6.89,3.16,0.0,-46.8,0.0,-50.99
VMAR,5213000.0,0.0,236000.0,0.0,0.0,0.0,0.0,0.0,0.0,22.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821000.0,363000.0,0.35,0.22,0.0,-32.88,0.0,-52.79
ABCL,495000000.0,0.0,44765000.0,3.56,0.0,0.0,206.0,25.61,0.0,11.05,5.32,6.24,12.4,12.4,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,27220000.0,19077000.0,5.5,4.94,0.0,-38.15,0.0,-52.91
NKTX,107000000.0,-7250000.0,0.0,8.78,0.0,0.0,116.0,0.0,0.0,0.0,3.29,3.83,27.7,27.7,0.0,-21.9,-23.2,0.0,0.0,0.0,0.0,0.0,3283000.0,2932000.0,6.23,6.84,0.0,-35.14,4.56,-52.97
PMVP,137000000.0,-4370000.0,0.0,7.5,0.0,0.0,44.0,0.0,0.0,0.0,3.85,4.3,43.1,43.1,0.0,-12.1,-12.4,0.0,0.0,0.0,0.0,0.0,4507000.0,3990000.0,7.2,7.54,0.0,-17.57,0.0,-53.08
KROS,79122000.0,-5320000.0,10000.0,10.11,0.0,0.0,44.0,0.0,0.0,7912.17,3.27,3.34,32.1,32.1,0.0,-23.4,-24.3,0.0,0.0,0.0,0.0,0.0,2331000.0,1992000.0,5.0,8.66,0.0,-46.69,-32.63,-53.15
ORPH,17695000.0,-6100000.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,3.31,1.8,1.8,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3525000.0,2814000.0,5.86,0.11,0.0,-62.4,0.0,-53.22
GP,28080000.0,0.0,815000.0,0.0,0.0,0.0,0.0,0.0,0.0,34.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089000.0,1406000.0,5.31,4.64,0.0,-44.23,-1.39,-53.83
MRM,3140000.0,-490000.0,3040000.0,1.11,0.0,0.0,171.0,0.0,0.0,1.03,5.95,2.4,0.8,0.8,1.84,0.0,0.0,-38.9,12.8,-19.0,-16.1,0.0,403000.0,332000.0,0.54,0.73,0.0,-31.43,0.0,-54.1
ARRY,249000000.0,-2070000.0,76880000.0,-0.54,0.0,0.0,387.0,0.0,30.25,3.23,0.0,140.47,1.1,2.0,0.0,-2.3,-35.9,20.1,17.3,1.5,-1.8,0.0,12699000.0,12560000.0,5.41,1.97,24.45,-43.71,0.0,-54.29
PASG,66647000.0,-15480000.0,0.0,7.47,0.0,0.0,74.0,0.0,0.0,0.0,1.56,1.63,13.4,13.4,0.0,-38.9,-41.6,0.0,0.0,0.0,0.0,0.0,5389000.0,4739000.0,7.7,10.77,0.0,-43.81,-21.78,-54.36
GBS,4146000.0,0.0,44000.0,1.35,0.0,0.0,7.0,0.0,0.0,93.86,2.49,2.9,10.6,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180000.0,657000.0,5.02,0.27,0.0,-49.78,0.0,-54.59
SBTX,77818000.0,0.0,0.0,10.03,0.0,0.0,76.0,0.0,0.0,0.0,2.04,2.16,23.3,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3488000.0,3212000.0,10.1,19.4,0.0,-58.3,0.0,-55.76
AFIB,42697000.0,-11860000.0,1400000.0,2.69,0.0,0.0,291.0,0.0,0.0,30.5,4.64,5.27,4.9,5.7,0.59,-67.0,-104.2,-52.2,-74.3,0.0,0.0,0.0,2815000.0,1552000.0,12.71,5.79,20.67,-25.99,-62.84,-56.72
TPGY,47162000.0,-6710000.0,0.0,5.78,0.0,0.0,3.0,0.0,0.0,0.0,1.89,2358.08,0.0,0.0,0.01,-25.5,-72.5,0.0,0.0,0.0,0.0,0.0,4375000.0,3500000.0,6.17,5.66,0.0,-38.48,0.0,-57.67
AMWL,257000000.0,-19040000.0,24080000.0,4.7,0.0,0.0,812.0,0.0,0.0,10.67,2.28,2.64,11.2,11.3,0.0,-14.1,-15.7,-18.6,38.0,-79.0,-79.1,0.0,24937000.0,13530000.0,11.8,5.31,16.56,-54.45,0.0,-57.76
BLI,252000000.0,-5450000.0,7780000.0,3.47,0.0,0.0,230.0,0.0,0.0,32.4,10.76,11.72,8.8,9.3,0.08,-18.2,-22.5,-15.3,67.8,-68.2,-70.0,0.0,6679000.0,5524000.0,7.44,4.62,0.0,-29.94,-40.14,-58.23
EBON,35081000.0,0.0,1900000.0,0.0,0.0,0.0,205.0,0.0,0.0,18.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13921000.0,12934000.0,9.32,2.65,0.0,-64.46,-66.13,-58.48
HUIZ,15409000.0,190000.0,26430000.0,1.48,0.0,0.0,1314.0,78.11,7.23,0.58,1.95,2.0,2.0,2.0,0.36,1.1,2.5,-5.0,28.2,0.3,0.7,0.0,5192000.0,3072000.0,0.29,0.15,0.0,-62.02,-66.88,-58.71
KRBP,2566000.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735000.0,302000.0,1.5,0.16,0.0,-67.8,0.0,-58.8
PRAX,98813000.0,-11060000.0,0.0,8.03,0.0,0.0,67.0,0.0,0.0,0.0,2.81,2.91,22.1,22.1,0.0,-41.9,-57.9,0.0,0.0,0.0,0.0,0.0,4157000.0,3120000.0,4.13,4.35,0.0,-43.85,0.0,-59.0
STTK,91549000.0,-5930000.0,180000.0,6.61,0.0,0.0,59.0,0.0,0.0,508.61,3.24,3.0,20.9,20.9,0.0,-20.5,-28.7,-11.9,0.0,0.0,0.0,0.0,4191000.0,3239000.0,4.65,8.29,0.0,-40.95,0.0,-59.17
AMST,4009000.0,-1110000.0,40000.0,0.64,0.0,0.0,12.0,0.0,0.0,100.22,3.08,3.31,12.3,12.3,0.0,-81.6,-92.3,0.0,0.0,0.0,0.0,0.0,2054000.0,921000.0,2.25,0.11,0.0,-64.76,0.0,-59.38
LSF,18048000.0,-1450000.0,2600000.0,8.45,0.0,0.0,145.0,0.0,0.0,6.94,2.27,2.99,18.6,20.8,0.0,-21.3,-23.8,-16.2,26.2,-49.7,-55.8,0.0,888000.0,621000.0,12.42,11.42,0.0,-48.07,0.0,-59.43
WISH,468000000.0,0.0,283000000.0,1.38,0.0,0.0,875.0,0.0,0.0,1.65,5.35,2.97,2.0,2.0,0.0,0.0,0.0,-61.6,57.9,0.0,0.0,0.0,62400000.0,46119000.0,6.88,0.42,9.83,-56.56,0.0,-59.54
CMPI,12625000.0,-5540000.0,0.0,4.39,0.0,0.0,25.0,0.0,0.0,0.0,1.31,1.48,13.6,13.6,0.0,-44.5,-47.4,0.0,0.0,0.0,0.0,0.0,2162000.0,1927000.0,0.68,2.38,0.0,-60.8,-53.13,-60.45
IH,39986000.0,-570000.0,10540000.0,1.92,0.0,0.0,817.0,0.0,180.0,3.79,3.66,3.07,2.4,2.4,0.0,-5.1,-12.1,-7.0,69.8,-5.6,-5.4,0.0,5333000.0,746000.0,1.19,2.0,0.0,-52.41,0.0,-61.26
QH,14507000.0,0.0,258000000.0,1.75,0.0,0.0,708.0,0.0,8.98,0.06,1.67,3.89,1.3,1.3,0.29,0.0,0.0,-7.3,0.0,0.0,0.0,0.0,4363000.0,3980000.0,0.04,0.2,0.0,-50.51,-57.31,-61.27
