IPO,MarketCap,Income,Sales,Booksh,Dividend,Dividend_Percentage,Employees,PriceToEarnings,ForwardPTE,PriceToSales,PriceToBook,PutCallRatio,QuickRatio,CurrentRatio,DebtEquity,ROA,ROE,ROI,GrossMargin,OperationalMargin,ProfitMargin,Payout,SHSOutstanding,ShsFloat,ShoartFloat,ShortRatio,TargetPrice,PerformaceHalfYear,PerformanceYear,PerformanceYTD
[['apsg'], '993.48M', '2.00M', '-', '7.19', '-', '-', '-', '885.45', '-', '-', '1.35', '1655.80', '0.20', '0.20', '0.01', '0.30%', '0.40%', '-', '-', '-', '-', '0.00%', '102.10M', '75.00M', '0.15%', '0.78', '-', '-4.70%', '-', '-6.44%']
[['vygg'], '629.54M', '-', '-', '7.20', '-', '-', '-', '-', '-', '-', '1.36', '314.77', '1.80', '1.80', '0.00', '-', '-', '-', '-', '-', '-', '-', '71.88M', '35.15M', '0.20%', '0.40', '-', '-8.00%', '-', '-6.14%']
[['avan'], '730.54M', '-', '-', '7.09', '-', '-', '-', '-', '-', '-', '1.38', '-', '4.30', '4.30', '0.00', '-', '-', '-', '-', '-', '-', '-', '75.00M', '59.90M', '0.11%', '0.60', '-', '-2.50%', '-', '-5.06%']
[['cccc'], '2.26B', '-82.00M', '33.90M', '9.50', '-', '-', '99', '-', '-', '66.62', '4.97', '4.85', '10.80', '10.80', '0.02', '-21.40%', '-40.80%', '-20.60%', '-', '-', '-', '-', '43.85M', '42.23M', '6.49%', '6.04', '57.83', '12.06%', '-', '42.50%']
[['imnm'], '210.46M', '-21.60M', '-', '5.29', '-', '-', '23', '-', '-', '-', '3.28', '3.52', '17.80', '17.80', '0.00', '-52.90%', '-95.10%', '-', '-', '-', '-', '-', '11.46M', '8.59M', '2.25%', '0.45', '-', '-43.21%', '-', '79.24%']
[['seah'], '1.05B', '-', '-', '6.36', '-', '-', '-', '-', '-', '-', '1.57', '3494.00', '0.10', '0.10', '0.00', '-', '-', '-', '-', '-', '-', '-', '56.25M', '44.85M', '0.50%', '0.55', '-', '0.00%', '-', '-1.19%']
[['aso'], '4.16B', '496.60M', '6.13B', '14.27', '-', '-', '22000', '8.27', '10.28', '0.68', '3.16', '7.01', '0.50', '1.40', '0.60', '10.50%', '43.50%', '20.70%', '32.60%', '10.60%', '8.10%', '0.00%', '92.18M', '90.88M', '13.72%', '5.80', '45.38', '79.91%', '-', '117.75%']
[['oncr'], '257.28M', '-62.40M', '-', '6.33', '-', '-', '56', '-', '-', '-', '1.62', '1.61', '15.10', '15.10', '0.00', '-36.40%', '-70.20%', '-', '-', '-', '-', '-', '25.68M', '25.13M', '2.94%', '6.03', '-', '-30.88%', '-', '-68.36%']
[['impx'], '486.51M', '-', '-', '7.18', '-', '-', '-', '-', '-', '-', '1.36', '405.43', '0.10', '0.10', '0.00', '-', '-', '-', '-', '-', '-', '-', '50.00M', '27.50M', '0.40%', '1.40', '-', '-2.60%', '-', '-3.56%']
[['avo'], '1.39B', '29.60M', '838.00M', '6.76', '-', '-', '2500', '48.12', '19.54', '1.66', '2.91', '15.31', '2.20', '2.70', '0.37', '3.90%', '6.80%', '4.90%', '15.30%', '5.60%', '3.40%', '0.00%', '70.55M', '37.15M', '2.83%', '4.67', '24.00', '-6.91%', '-', '30.76%']
[['lxeh'], '133.40M', '5.20M', '24.70M', '4.27', '-', '-', '517', '25.64', '-', '5.40', '2.34', '4.04', '2.30', '2.40', '0.11', '-', '-', '6.40%', '28.30%', '16.20%', '21.10%', '0.00%', '13.33M', '2.67M', '0.23%', '1.09', '-', '17.65%', '-', '18.62%']
[['lung'], '1.54B', '-37.60M', '41.90M', '5.82', '-', '-', '170', '-', '-', '36.83', '7.27', '7.37', '13.50', '14.30', '0.08', '-17.90%', '-33.70%', '-13.40%', '72.00%', '-92.90%', '-89.70%', '-', '36.04M', '33.49M', '3.59%', '3.27', '55.67', '-17.13%', '-', '-38.73%']
[['igac'], '365.69M', '-', '-', '7.04', '-', '-', '-', '-', '-', '-', '1.39', '731.38', '364.40', '-', '0.00', '-', '-', '-', '-', '-', '-', '-', '37.50M', '22.50M', '0.26%', '0.85', '-', '-1.91%', '-', '-3.55%']
[['thry'], '988.23M', '170.50M', '1.06B', '8.02', '-', '-', '2313', '5.99', '12.19', '0.93', '3.74', '62.55', '1.20', '1.20', '2.40', '12.70%', '93.10%', '33.30%', '63.60%', '14.90%', '16.10%', '0.00%', '32.93M', '31.80M', '2.74%', '4.59', '44.50', '55.09%', '91.63%', '122.30%']
[['rchg'], '245.74M', '-', '-', '7.25', '-', '-', '-', '-', '-', '-', '1.35', '245.74', '3.00', '3.00', '0.00', '-', '-', '-', '-', '-', '-', '-', '25.05M', '15.03M', '0.55%', '3.16', '-', '-4.76%', '-', '-3.73%']
[['agc'], '673.11M', '-', '-', '7.21', '-', '-', '-', '-', '-', '-', '1.49', '2243.70', '1.60', '1.60', '0.00', '-', '-', '-', '-', '-', '-', '-', '50.00M', '41.12M', '39.56%', '38.27', '-', '-9.76%', '-', '-16.64%']
[['asan'], '14.69B', '-263.80M', '293.40M', '-0.29', '-', '-', '1080', '-', '-', '50.08', '-', '38.04', '2.40', '2.40', '-', '-30.00%', '414.10%', '-47.90%', '88.70%', '-59.80%', '-72.20%', '-', '162.08M', '71.51M', '7.26%', '2.12', '66.64', '187.94%', '-', '219.90%']
[['bq'], '200.00M', '-4.80M', '169.50M', '0.20', '-', '-', '325', '-', '-', '1.18', '13.55', '3.11', '2.10', '2.50', '4.55', '-3.70%', '4.30%', '-29.60%', '18.30%', '-18.80%', '-2.80%', '-', '90.19M', '72.67M', '0.81%', '2.28', '-', '-50.64%', '-', '-47.98%']
[['pltr'], '51.87B', '-1263.70M', '1.33B', '1.09', '-', '-', '2439', '-', '127.14', '39.05', '24.50', '22.15', '3.90', '3.90', '0.00', '-44.40%', '-76.00%', '-67.50%', '71.00%', '-95.20%', '-95.10%', '-', '1.89B', '1.63B', '3.46%', '1.33', '24.61', '10.06%', '-', '13.38%']
[['qell'], '430.67M', '-', '-', '6.96', '-', '-', '-', '-', '-', '-', '1.44', '1435.56', '0.20', '0.20', '0.00', '-', '-', '-', '-', '-', '-', '-', '47.44M', '24.14M', '14.60%', '9.01', '-', '-3.85%', '-', '-18.71%']
[['cd'], '4.62B', '-15.60M', '364.10M', '4.25', '-', '-', '981', '-', '209.34', '12.69', '3.00', '4.50', '4.20', '4.20', '0.53', '-0.60%', '-1.20%', '-0.30%', '40.50%', '9.30%', '-4.30%', '-', '361.94M', '40.00M', '14.25%', '5.14', '-', '-32.04%', '-', '-46.70%']
[['yala'], '1.44B', '15.70M', '216.40M', '1.97', '-', '-', '374', '195.58', '9.25', '6.68', '5.16', '4.88', '9.90', '9.90', '0.00', '5.70%', '6.30%', '1.20%', '57.60%', '8.00%', '7.20%', '0.00%', '148.25M', '18.60M', '27.02%', '4.44', '-', '-47.98%', '-', '-29.03%']
[['orph'], '176.95M', '-61.00M', '-', '-', '-', '-', '141', '-', '-', '-', '-', '3.31', '1.80', '1.80', '0.27', '-', '-', '-', '-', '-', '-', '-', '35.25M', '28.14M', '5.86%', '0.11', '-', '-62.40%', '-', '-53.22%']
[['amst'], '40.09M', '-11.10M', '0.40M', '0.64', '-', '-', '12', '-', '-', '100.22', '3.08', '3.31', '12.30', '12.30', '0.00', '-81.60%', '-92.30%', '-', '-', '-', '-', '-', '20.54M', '9.21M', '2.25%', '0.11', '-', '-64.76%', '-', '-59.38%']
[['prld'], '1.84B', '-84.20M', '-', '7.26', '-', '-', '100', '-', '-', '-', '5.21', '5.37', '23.50', '23.50', '0.00', '-28.50%', '-29.80%', '-', '-', '-', '-', '-', '46.06M', '43.72M', '9.61%', '21.00', '61.60', '-32.48%', '-', '-47.10%']
