0,1,2,3,4,5,6
"a href=""/wiki/Arlo_Technologies"" title=""Arlo Technologies""Arlo Technologies/a
",ARLO,"Information Technology
","Communications Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ARLO&amp;action=getcompany"" rel=""nofollow""view/a
","0001736946
",S&P600
"a href=""/wiki/Arconic"" title=""Arconic"" Arconic Corp./a
",ARNC,"Materials
","Aluminum
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ARNC&amp;action=getcompany"" rel=""nofollow""view/a
","0001790982
",S&P600
"Archrock, Inc.
",AROC,"Energy
","Oil &amp; Gas Equipment &amp; Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AROC&amp;action=getcompany"" rel=""nofollow""view/a
","0001389050
",S&P600
"Armour Residential REIT
",ARR,"Real Estate
","Mortgage REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ARR&amp;action=getcompany"" rel=""nofollow""view/a
","0001428205
",S&P600
"a href=""/wiki/AdvanSix"" title=""AdvanSix""Advansix, Inc./a
",ASIX,"Materials
","Commodity Chemicals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ASIX&amp;action=getcompany"" rel=""nofollow""view/a
","0001673985
",S&P600
"Astec Industries, Inc.
",ASTE,"Industrials
","Construction Machinery &amp; Heavy Trucks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ASTE&amp;action=getcompany"" rel=""nofollow""view/a
","0000792987
",S&P600
"a href=""/wiki/Adtalem_Global_Education"" title=""Adtalem Global Education""Adtalem Global Education/a
",ATGE,"Consumer Discretionary
","Education Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ATGE&amp;action=getcompany"" rel=""nofollow""view/a
","0000730464
",S&P600
"a href=""/wiki/Allegheny_Technologies"" title=""Allegheny Technologies""Allegheny Technologies/a
",ATI,"Materials
","Steel
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ATI&amp;action=getcompany"" rel=""nofollow""view/a
","0001018963
",S&P600
"a href=""/wiki/Atlantic_Tele-Network"" title=""Atlantic Tele-Network"" ATN International, Inc./a
",ATNI,"Communication Services
","Integrated Telecommunication Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ATNI&amp;action=getcompany"" rel=""nofollow""view/a
","0000879585
",S&P600
"a href=""/wiki/Avista"" title=""Avista"" Avista Corporation/a
",AVA,"Utilities
","Multi-Utilities
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AVA&amp;action=getcompany"" rel=""nofollow""view/a
","0000104918
",S&P600
"a href=""/wiki/AeroVironment"" title=""AeroVironment""AeroVironment, Inc./a
",AVAV,"Industrials
","Aerospace &amp; Defense
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AVAV&amp;action=getcompany"" rel=""nofollow""view/a
","0001368622
",S&P600
"a href=""/wiki/American_Vanguard_Corporation"" title=""American Vanguard Corporation""American Vanguard Corporation/a
",AVD,"Materials
","Fertilizers &amp; Agricultural Chemicals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AVD&amp;action=getcompany"" rel=""nofollow""view/a
","0000005981
",S&P600
"a href=""/wiki/Avanos_Medical"" title=""Avanos Medical"" Avanos Medical, Inc./a
",AVNS,"Health Care
","Health Care Supplies
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AVNS&amp;action=getcompany"" rel=""nofollow""view/a
","0001606498
",S&P600
"a class=""mw-redirect"" href=""/wiki/American_States_Water_Company"" title=""American States Water Company""American States Water Company/a
",AWR,"Utilities
","Water Utilities
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AWR&amp;action=getcompany"" rel=""nofollow""view/a
","0001056903
",S&P600
"a href=""/wiki/Axos_Financial"" title=""Axos Financial""Axos Financial, Inc./a
",AX,"Financials
","Thrifts &amp; Mortgage Finance
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AX&amp;action=getcompany"" rel=""nofollow""view/a
","0001299709
",S&P600
"a href=""/wiki/American_Axle"" title=""American Axle"" American Axle &amp; Manufacturing, Inc./a
",AXL,"Consumer Discretionary
","Auto Parts &amp; Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AXL&amp;action=getcompany"" rel=""nofollow""view/a
","0001062231
",S&P600
"AZZ, Inc.
",AZZ,"Industrials
","Heavy Electrical Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AZZ&amp;action=getcompany"" rel=""nofollow""view/a
","0000008947
",S&P600
"a href=""/wiki/Barnes_Group"" title=""Barnes Group""Barnes Group, Inc./a
",B,"Industrials
","Industrial Machinery
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=B&amp;action=getcompany"" rel=""nofollow""view/a
","0000009984
",S&P600
"a href=""/wiki/Banc_of_California"" title=""Banc of California""Banc Of California, Inc./a
",BANC,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BANC&amp;action=getcompany"" rel=""nofollow""view/a
","0001169770
",S&P600
"a href=""/wiki/BancFirst"" title=""BancFirst"" Bancfirst Corp/a
",BAN,Financials,Diversified Banks,"a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BANF&amp;action=getcompany"" rel=""nofollow""view/a
","0000760498
",S&P600
"a href=""/wiki/Banner_Bank"" title=""Banner Bank"" Banner Corporation/a
",BANR,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BANR&amp;action=getcompany"" rel=""nofollow""view/a
","0000946673
",S&P600
"a href=""/wiki/Bed_Bath_%26_Beyond"" title=""Bed Bath &amp; Beyond""Bed Bath &amp; Beyond/a
",BBB,Consumer Discretionary,Homefurnishing Retail,"a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BBBY&amp;action=getcompany"" rel=""nofollow""view/a
","0000886158
",S&P600
"a class=""mw-redirect"" href=""/wiki/Boise_Cascade_Company"" title=""Boise Cascade Company""Boise Cascade Company/a
",BCC,"Industrials
","Building Products
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BCC&amp;action=getcompany"" rel=""nofollow""view/a
","0001328581
",S&P600
"Bonanza Creek Energy, Inc
",BCEI,"Energy
","Oil &amp; Gas Exploration &amp; Production
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BCEi&amp;action=getcompany"" rel=""nofollow""view/a
","0001509589
",S&P600
"a class=""mw-redirect"" href=""/wiki/Blucora"" title=""Blucora"" Blucora, Inc./a
",BCOR,"Financials
","Asset Management &amp; Custody Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BCOR&amp;action=getcompany"" rel=""nofollow""view/a
","0001068875
",S&P600
"Balchem Corporation
",BCPC,"Materials
","Specialty Chemicals
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BCPC&amp;action=getcompany"" rel=""nofollow""view/a
","0000009326
",S&P600
"a href=""/wiki/Brandywine_Realty_Trust"" title=""Brandywine Realty Trust""Brandywine Realty Trust/a
",BDN,"Real Estate
","Office REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BDN&amp;action=getcompany"" rel=""nofollow""view/a
","0000790816
",S&P600
