Ticker,Index,MarketCap,Income,Sales,Booksh,Cashsh,Dividend,Dividend_Percentage,Employees,Recom,PriceToEarnings,ForwardPTE,PEG,PriceToSales,PriceToBook,PutCallRatio,PFCF,QuickRatio,CurrentRatio,DebtEquity,LdDebtEquity,SMA20,SMA50,SMA200,ROA,ROE,ROI,GrossMargin,OperationalMargin,ProfitMargin,Payout,SHSOutstanding,ShsFloat,ShoartFloat,ShortRatio,TargetPrice,52WH,52WL,AVGVol,Vol,PerformaceHalfYear,PerformanceYear,PerformanceYTD,,
[['AJRD'], '-', '3.31B', '129.10M', '2.14B', '4.25', '7.28', '-', '-', '4969', '3.00', '26.16', '20.62', '2.13', '1.55', '9.75', '5.70', '-', '1.30', '1.30', '1.43', '0.92', '-2.30%', '-7.69%', '-10.78%', '4.90%', '33.10%', '23.10%', '17.90%', '10.50%', '6.00%', '0.00%', '79.70M', '78.39M', '8.77%', '10.90', '51.00', '-17.29%', '42.32%', '630.11K', '14,866', '-11.09%', '15.00%', '-12.98%'],
[['AKR'], '-', '1.84B', '-11.00M', '264.30M', '17.26', '0.38', '0.60', '2.96%', '120', '2.30', '-', '104.38', '-', '6.97', '1.17', '53.21', '28.37', '-', '-', '1.11', '1.11', '-4.03%', '-4.94%', '3.74%', '-0.30%', '-0.70%', '-3.00%', '62.80%', '-8.70%', '-4.20%', '-', '86.82M', '-', '-', '3.92', '24.14', '-12.63%', '120.55%', '543.48K', '39,528', '3.63%', '67.22%', '42.71%'],
[['ALE'], '-', '3.22B', '167.50M', '1.29B', '44.49', '1.18', '2.52', '4.14%', '1331', '2.70', '18.94', '15.79', '3.34', '2.49', '1.37', '51.46', '-', '0.30', '0.50', '0.87', '0.72', '-8.50%', '-11.99%', '-9.74%', '2.70%', '7.30%', '4.70%', '94.90%', '11.50%', '13.00%', '77.60%', '52.20M', '51.97M', '1.29%', '3.09', '71.40', '-17.09%', '21.27%', '216.82K', '12,922', '-11.08%', '14.30%', '-1.79%'],
[['ALG'], '-', '1.73B', '71.60M', '1.24B', '56.74', '7.21', '0.56', '0.39%', '3990', '1.30', '24.09', '16.21', '3.65', '1.39', '2.56', '20.15', '15.15', '1.90', '3.40', '0.47', '0.45', '-5.28%', '-3.91%', '-5.49%', '6.10%', '11.30%', '7.90%', '25.00%', '8.50%', '5.80%', '8.90%', '11.84M', '11.66M', '0.94%', '3.58', '181.00', '-14.44%', '45.62%', '30.58K', '1,222', '-8.61%', '31.52%', '5.27%'],
[['ALRM'], '-', '4.13B', '81.60M', '685.80M', '11.51', '13.07', '-', '-', '1404', '2.20', '51.32', '40.42', '4.21', '6.02', '7.08', '6.23', '49.83', '7.50', '8.00', '0.73', '0.73', '-5.13%', '-5.75%', '-11.16%', '8.80%', '16.10%', '9.30%', '61.60%', '9.20%', '11.90%', '0.00%', '49.81M', '45.80M', '5.67%', '12.43', '110.71', '-28.20%', '48.41%', '208.79K', '30,544', '-5.87%', '51.03%', '-21.27%'],
[['AMBC'], '-', '624.45M', '-147.00M', '295.00M', '22.82', '0.28', '-', '-', '125', '3.00', '-', '-', '-', '2.12', '0.59', '48.03', '-', '-', '-', '6.68', '6.68', '-3.87%', '-6.27%', '-15.32%', '-1.10%', '-13.90%', '-2.50%', '-', '27.80%', '-49.80%', '-', '46.58M', '45.58M', '6.60%', '9.05', '-', '-28.45%', '19.55%', '332.53K', '13,164', '-24.89%', '16.09%', '-12.29%'],
[['AMCX'], '-', '2.00B', '279.30M', '2.90B', '17.27', '23.42', '-', '-', '2002', '3.10', '7.81', '6.02', '-', '0.69', '2.76', '2.04', '4.85', '2.10', '2.10', '3.90', '3.88', '-0.57%', '-7.81%', '-9.67%', '5.20%', '40.30%', '7.80%', '54.40%', '15.10%', '9.60%', '0.00%', '42.48M', '28.64M', '20.58%', '16.53', '51.80', '-44.11%', '131.85%', '356.75K', '39,422', '-31.17%', '88.61%', '33.30%'],
[['AMEH'], '-', '5.27B', '52.60M', '708.60M', '9.09', '6.70', '-', '-', '630', '2.00', '75.22', '63.57', '-', '7.43', '10.65', '14.45', '360.72', '3.70', '3.70', '0.46', '0.46', '12.25%', '8.45%', '109.72%', '6.20%', '16.10%', '4.30%', '24.40%', '17.20%', '7.40%', '0.00%', '44.16M', '37.49M', '5.87%', '3.16', '85.67', '-19.62%', '468.01%', '696.98K', '165,979', '249.49%', '471.49%', '429.89%'],
[['AMN'], '-', '5.29B', '172.50M', '2.93B', '20.28', '2.95', '-', '-', '3000', '1.70', '31.13', '24.86', '2.97', '1.81', '5.53', '37.94', '17.75', '1.40', '1.40', '0.87', '0.87', '-0.00%', '6.03%', '30.20%', '6.90%', '19.80%', '7.60%', '32.90%', '9.50%', '5.90%', '0.00%', '47.66M', '46.84M', '1.66%', '2.62', '121.56', '-4.45%', '112.81%', '295.96K', '21,917', '45.81%', '96.03%', '64.26%'],
[['AMPH'], '-', '861.19M', '10.50M', '384.00M', '8.84', '2.50', '-', '-', '1980', '2.50', '87.06', '13.07', '3.48', '2.24', '2.08', '7.35', '16.43', '1.70', '2.50', '0.09', '0.07', '-3.39%', '-7.51%', '-4.49%', '1.60%', '2.60%', '1.70%', '43.10%', '6.40%', '2.70%', '0.00%', '47.73M', '36.79M', '6.52%', '11.14', '22.75', '-16.04%', '7.39%', '215.46K', '16,454', '1.66%', '-5.55%', '-8.65%'],
[['AMSF'], '-', '1.05B', '94.90M', '335.70M', '24.23', '3.00', '1.16', '2.13%', '393', '2.50', '11.13', '17.77', '1.11', '3.11', '2.25', '18.18', '-', '-', '-', '0.00', '0.00', '-4.17%', '-5.12%', '-9.92%', '6.30%', '20.70%', '19.70%', '-', '34.90%', '28.30%', '22.80%', '19.33M', '19.01M', '1.24%', '2.99', '71.50', '-19.33%', '4.40%', '78.61K', '3,362', '-16.67%', '-1.41%', '-5.10%'],
[['AMWD'], '-', '1.08B', '45.30M', '1.80B', '44.24', '1.70', '-', '-', '10000', '2.00', '24.98', '8.73', '3.12', '0.60', '1.50', '39.02', '14.27', '0.90', '1.80', '0.67', '0.67', '-9.08%', '-11.84%', '-26.62%', '2.80%', '6.00%', '7.20%', '16.30%', '5.10%', '2.50%', '0.00%', '16.66M', '16.38M', '1.53%', '1.95', '83.89', '-39.94%', '1.98%', '128.07K', '19,820', '-33.78%', '-18.97%', '-29.26%'],
[['ANDE'], '-', '968.99M', '73.50M', '10.37B', '30.74', '0.83', '0.70', '2.39%', '2359', '2.70', '13.43', '13.68', '1.68', '0.09', '0.95', '35.24', '-', '0.80', '1.30', '1.64', '0.85', '-4.06%', '0.83%', '3.16%', '1.80%', '7.50%', '0.70%', '5.10%', '1.10%', '0.70%', '31.60%', '33.26M', '31.03M', '1.45%', '2.74', '36.00', '-16.26%', '60.80%', '164.49K', '7,455', '1.91%', '49.62%', '19.58%'],
[['ANF'], '-', '2.18B', '274.90M', '3.59B', '15.57', '15.74', '-', '-', '7100', '2.20', '8.65', '9.89', '0.48', '0.61', '2.39', '2.37', '7.35', '1.20', '1.70', '0.00', '0.32', '2.21%', '-1.75%', '9.98%', '8.60%', '29.90%', '-6.30%', '63.00%', '9.70%', '7.70%', '0.00%', '61.43M', '55.58M', '12.00%', '3.63', '52.78', '-21.24%', '171.87%', '1.84M', '164,713', '3.84%', '142.87%', '83.10%'],
